Date,China,India,US,EU,Russia,Japan,Brazil,ROW,World
01/01/2019,33.55,8.25,12.43,7.15,4.42,3.06,0.72,27.76,100.76
02/01/2019,34.16,8.09,13.42,9.28,4.38,3.05,0.94,29.21,106.10
03/01/2019,32.81,8.24,14.58,11.23,4.44,3.16,1.02,30.10,109.19
04/01/2019,33.69,8.31,14.57,11.32,4.52,3.29,1.02,30.32,110.68
05/01/2019,33.68,8.13,12.93,9.72,4.61,3.28,0.96,29.24,106.23
06/01/2019,33.10,7.99,10.52,9.12,4.53,3.43,0.84,27.64,100.88
07/01/2019,33.28,7.90,12.80,10.58,4.57,3.76,1.05,29.82,107.35
08/01/2019,33.12,8.08,13.28,10.41,4.65,3.84,1.07,30.37,108.33
09/01/2019,33.37,8.47,14.47,11.14,4.77,4.00,1.07,31.32,112.12
10/01/2019,33.13,8.46,15.65,12.13,4.80,4.07,1.09,32.18,115.13
11/01/2019,33.31,8.24,15.88,11.78,4.75,3.92,1.10,31.72,114.16
12/01/2019,33.01,8.18,14.24,9.18,4.75,3.77,1.05,29.98,107.78
13/01/2019,32.61,8.01,12.69,7.60,4.55,3.41,0.83,28.23,101.56
14/01/2019,32.29,8.04,15.62,10.27,4.76,3.57,1.16,30.31,109.55
15/01/2019,32.45,8.32,16.31,10.72,4.74,3.93,1.18,30.88,111.99
16/01/2019,32.61,8.24,16.04,10.92,4.78,3.91,1.24,31.40,112.40
17/01/2019,32.14,8.17,15.73,11.09,4.81,3.87,1.25,31.26,111.84
18/01/2019,32.19,8.07,14.64,12.15,4.75,3.90,1.26,31.04,111.58
19/01/2019,31.47,7.89,13.72,11.35,4.62,3.54,0.98,30.03,107.20
20/01/2019,30.77,7.54,13.82,10.61,4.55,3.39,0.88,29.81,104.97
21/01/2019,30.21,7.28,14.98,12.73,4.84,3.80,1.14,31.20,109.73
22/01/2019,29.44,7.42,16.16,12.79,4.98,3.90,1.18,31.37,110.70
23/01/2019,29.26,7.53,15.83,12.72,5.10,3.80,1.28,30.76,109.76
24/01/2019,28.63,7.82,15.48,12.95,5.07,3.92,1.27,30.43,109.09
25/01/2019,28.17,8.02,16.66,12.14,5.09,3.95,1.19,29.42,108.22
26/01/2019,27.08,8.00,15.35,9.84,4.94,3.88,1.18,27.55,101.42
27/01/2019,25.87,7.76,13.35,8.31,4.79,3.61,1.07,25.89,94.29
28/01/2019,25.42,7.93,14.64,10.95,4.98,3.95,1.23,27.59,100.08
29/01/2019,23.93,8.34,16.78,11.82,4.91,3.97,1.32,28.21,102.72
30/01/2019,23.83,8.14,18.05,12.01,4.84,3.87,1.33,28.75,104.29
31/01/2019,23.69,7.80,18.10,11.94,4.86,4.07,1.37,28.68,104.02
01/02/2019,22.68,7.81,17.32,11.77,4.99,4.17,1.25,27.66,101.24
02/02/2019,21.36,7.75,14.22,10.28,4.88,3.68,1.18,25.47,92.43
03/02/2019,20.79,7.74,11.56,9.47,4.90,3.31,1.10,24.34,86.82
04/02/2019,20.22,7.52,13.59,11.58,5.06,3.50,1.27,25.97,92.23
05/02/2019,19.82,7.34,15.01,11.93,5.11,3.76,1.31,26.55,94.26
06/02/2019,19.98,7.44,15.22,11.60,5.09,3.99,1.29,27.20,95.26
07/02/2019,20.63,7.72,15.24,10.90,5.06,3.72,1.25,26.90,94.91
08/02/2019,21.14,7.77,16.47,10.03,4.96,4.07,1.22,26.06,95.26
09/02/2019,22.07,8.16,15.87,8.16,4.80,4.12,1.16,25.51,93.42
10/02/2019,22.57,7.96,14.48,7.56,4.78,3.68,1.06,25.15,90.82
11/02/2019,23.66,7.53,15.50,10.29,4.92,4.02,1.24,27.45,98.12
12/02/2019,24.02,7.30,15.72,11.12,4.88,3.99,1.25,28.13,99.85
13/02/2019,24.04,7.19,15.32,10.87,4.85,4.04,1.33,28.06,99.13
14/02/2019,24.50,7.41,15.07,11.01,4.83,4.19,1.38,28.26,100.18
15/02/2019,24.57,7.46,14.87,10.72,4.71,4.22,1.41,27.50,99.05
16/02/2019,24.77,7.48,14.59,8.76,4.52,3.71,1.35,26.33,95.14
17/02/2019,25.11,7.40,13.46,7.81,4.50,3.46,1.24,26.05,92.66
18/02/2019,25.93,7.21,14.63,10.22,4.72,3.65,1.35,28.23,99.51
19/02/2019,26.21,7.20,17.32,10.48,4.79,3.81,1.38,29.33,103.99
20/02/2019,27.36,7.44,16.76,10.60,4.73,3.44,1.39,29.83,105.02
21/02/2019,27.89,7.36,15.86,10.46,4.74,3.56,1.34,29.57,104.30
22/02/2019,28.39,7.41,15.94,10.47,4.74,3.54,1.32,29.08,104.50
23/02/2019,28.97,7.49,14.01,9.11,4.65,3.28,1.15,27.60,99.90
24/02/2019,28.57,7.44,12.62,8.61,4.60,3.08,1.10,26.81,96.48
25/02/2019,28.67,7.30,15.08,10.46,4.58,3.32,1.30,28.96,103.24
26/02/2019,27.92,7.53,16.06,10.32,4.69,3.44,1.31,29.16,103.92
27/02/2019,29.20,7.89,15.98,10.06,4.69,3.63,1.26,29.56,105.76
28/02/2019,29.04,7.80,15.70,9.79,4.64,3.75,1.24,29.23,104.73
01/03/2019,30.60,7.41,16.25,10.55,4.64,3.57,1.32,30.08,108.02
02/03/2019,30.66,7.57,14.62,8.66,4.70,3.27,1.23,28.86,103.21
03/03/2019,29.94,7.18,13.38,6.87,4.61,3.36,1.08,27.35,97.42
04/03/2019,29.12,6.97,16.81,8.46,4.71,3.76,1.15,29.07,103.59
05/03/2019,29.21,7.20,17.76,9.35,4.62,3.42,1.09,29.59,105.73
06/03/2019,29.30,7.33,17.42,9.10,4.52,3.59,1.18,29.44,105.40
07/03/2019,29.18,7.32,16.49,8.75,4.57,3.74,1.19,28.99,103.76
08/03/2019,28.96,7.51,15.77,9.15,4.48,3.63,1.15,28.35,102.61
09/03/2019,28.65,7.41,13.45,7.42,4.42,3.13,1.14,26.63,95.89
10/03/2019,27.87,7.29,12.05,6.97,4.33,3.00,1.03,25.74,91.94
11/03/2019,27.78,7.30,14.35,9.14,4.38,3.31,1.18,27.39,98.41
12/03/2019,27.30,7.45,14.40,9.42,4.54,3.30,1.22,27.40,98.53
13/03/2019,27.46,7.53,13.96,9.03,4.58,3.43,1.21,27.08,97.78
14/03/2019,27.38,7.56,13.52,9.17,4.54,3.63,1.22,27.22,97.79
15/03/2019,27.66,7.44,13.81,8.76,4.48,3.52,1.21,26.86,97.33
16/03/2019,27.87,7.30,13.25,7.41,4.46,3.34,1.11,26.03,94.43
17/03/2019,27.25,7.24,12.75,6.78,4.33,3.23,1.05,25.38,91.66
18/03/2019,27.57,7.16,14.53,9.59,4.46,3.37,1.23,27.69,99.17
19/03/2019,26.55,7.42,14.56,10.67,4.47,3.40,1.22,28.05,99.84
20/03/2019,27.57,7.52,14.39,10.17,4.45,3.04,1.23,28.11,100.00
21/03/2019,27.91,6.93,14.66,9.93,4.41,2.97,1.24,28.00,99.59
22/03/2019,28.78,6.72,14.00,9.68,4.38,3.13,1.25,27.33,98.88
23/03/2019,28.49,7.02,12.62,8.21,4.36,3.39,1.22,26.07,95.02
24/03/2019,27.99,7.23,11.37,7.28,4.28,3.12,1.10,25.25,91.27
25/03/2019,27.84,7.30,13.68,8.89,4.41,3.35,1.25,27.34,97.66
26/03/2019,27.28,7.50,14.39,9.68,4.42,3.23,1.27,27.72,98.91
27/03/2019,27.91,7.48,13.80,10.08,4.42,3.02,1.19,27.84,99.27
28/03/2019,28.52,7.57,13.47,10.02,4.36,3.25,1.20,27.97,99.94
29/03/2019,28.05,7.63,13.46,9.46,4.28,3.30,1.21,27.25,98.26
30/03/2019,28.49,7.71,11.83,7.92,4.22,3.22,1.19,26.20,94.42
31/03/2019,28.25,7.76,11.65,7.19,4.09,2.95,1.03,25.78,92.38
01/04/2019,29.53,6.92,14.64,9.36,4.37,3.49,1.20,28.43,101.55
02/04/2019,29.60,7.04,14.74,9.51,4.39,3.70,1.30,28.43,102.28
03/04/2019,29.03,7.29,14.09,9.96,4.33,3.65,1.26,28.06,101.27
04/04/2019,28.44,7.38,14.35,10.21,4.27,3.34,1.30,28.03,100.95
05/04/2019,27.43,7.46,14.45,9.89,4.35,3.08,1.35,27.19,98.85
06/04/2019,27.73,7.30,12.68,8.27,4.21,2.73,1.23,25.82,93.64
07/04/2019,27.39,7.12,11.02,7.35,4.09,2.58,1.08,24.65,88.97
08/04/2019,27.81,6.74,13.32,9.48,4.21,3.12,1.19,26.71,96.20
09/04/2019,29.61,7.23,13.66,9.58,4.17,3.24,1.22,27.76,100.06
10/04/2019,30.43,7.16,13.43,9.92,4.14,3.75,1.31,28.07,102.06
11/04/2019,30.06,7.21,13.57,10.37,4.12,3.47,1.32,28.03,101.30
12/04/2019,29.45,7.14,13.65,10.36,4.22,3.50,1.29,27.30,100.60
13/04/2019,29.30,7.31,12.70,9.17,4.15,2.89,1.18,26.27,96.71
14/04/2019,28.03,7.21,11.33,8.03,4.11,2.78,1.05,24.77,91.04
15/04/2019,28.50,7.07,12.70,8.81,4.27,2.94,1.19,26.25,95.35
16/04/2019,27.07,7.19,13.42,9.44,4.26,2.90,1.21,26.39,95.47
17/04/2019,26.03,6.83,13.22,9.11,4.28,3.00,1.24,25.58,92.93
18/04/2019,27.25,6.51,13.20,8.31,4.19,2.77,1.28,25.94,93.13
19/04/2019,27.44,6.60,13.30,7.26,4.23,2.90,1.18,25.25,91.82
20/04/2019,26.99,6.74,11.71,6.54,4.07,2.57,1.13,24.45,87.90
21/04/2019,26.73,6.76,9.84,5.75,3.91,2.39,0.99,23.50,83.59
22/04/2019,26.58,6.69,12.13,5.84,4.01,2.67,1.17,24.88,87.61
23/04/2019,26.97,6.98,13.50,7.25,3.97,2.79,1.16,26.29,92.53
24/04/2019,27.76,7.04,14.06,7.35,3.89,2.93,1.20,26.79,94.62
25/04/2019,27.98,7.17,13.87,7.45,3.78,2.84,1.20,26.62,94.57
26/04/2019,27.99,7.40,13.49,7.93,3.91,3.00,1.22,26.26,94.87
27/04/2019,27.74,7.38,12.06,6.85,3.79,2.77,1.19,24.69,90.20
28/04/2019,27.88,7.28,11.09,6.79,3.69,2.40,1.09,24.22,88.20
29/04/2019,27.24,7.09,13.23,8.63,3.98,2.50,1.29,25.74,93.36
30/04/2019,26.51,7.30,14.41,8.85,3.95,2.54,1.33,26.19,94.69
01/05/2019,25.78,7.15,14.21,7.23,3.86,2.40,1.19,24.92,90.37
02/05/2019,25.18,6.76,14.07,8.10,3.84,2.18,1.25,24.83,89.83
03/05/2019,25.68,6.78,14.12,8.64,3.78,2.10,1.24,24.84,90.88
04/05/2019,26.00,6.60,12.83,7.67,3.67,2.11,1.12,24.01,87.73
05/05/2019,26.51,6.59,10.94,7.11,3.43,2.04,1.02,22.87,84.25
06/05/2019,26.89,6.75,12.64,8.97,3.61,2.39,1.23,24.69,90.81
07/05/2019,27.38,7.10,13.53,9.65,3.61,2.71,1.27,25.90,94.74
08/05/2019,27.15,7.09,13.48,8.63,3.62,2.66,1.31,25.68,93.21
09/05/2019,27.29,7.01,13.52,8.93,3.68,2.79,1.28,25.96,94.06
10/05/2019,27.64,7.22,13.89,9.14,3.69,2.66,1.26,25.91,95.08
11/05/2019,27.00,7.32,12.43,7.63,3.61,2.49,1.14,24.38,89.72
12/05/2019,26.85,6.98,11.07,6.54,3.54,2.35,1.04,23.11,85.18
13/05/2019,27.97,7.08,12.90,8.32,3.74,2.69,1.19,25.49,92.99
14/05/2019,28.13,7.15,13.65,8.95,3.72,2.95,1.26,26.17,95.57
15/05/2019,28.09,7.02,13.68,9.12,3.68,2.78,1.30,26.16,95.44
16/05/2019,28.47,7.16,13.37,8.98,3.77,2.76,1.34,26.23,95.72
17/05/2019,28.72,7.30,13.37,8.69,3.79,2.76,1.28,25.89,95.47
18/05/2019,28.68,7.15,12.46,7.13,3.68,2.58,1.23,24.78,91.42
19/05/2019,27.94,6.91,11.44,6.48,3.60,2.35,1.13,23.62,87.20
20/05/2019,28.05,7.04,13.20,8.25,3.77,2.78,1.27,25.52,93.52
21/05/2019,28.02,7.38,13.59,8.53,3.70,2.82,1.27,26.05,94.97
22/05/2019,27.73,7.57,13.89,8.37,3.64,2.61,1.25,26.10,94.76
23/05/2019,28.08,7.55,14.26,8.35,3.72,2.63,1.26,26.44,95.95
24/05/2019,28.04,7.52,14.38,7.92,3.78,2.69,1.27,25.93,95.25
25/05/2019,28.19,7.24,12.81,6.67,3.65,2.49,1.19,24.69,90.69
26/05/2019,28.02,7.16,11.53,5.29,3.51,2.42,1.07,23.60,86.35
27/05/2019,27.53,7.03,12.07,7.14,3.59,2.90,1.23,24.83,89.99
28/05/2019,27.60,7.39,14.31,8.19,3.54,3.05,1.24,26.17,95.13
29/05/2019,27.40,7.55,14.95,8.19,3.62,2.80,1.24,26.34,95.74
30/05/2019,27.07,7.66,15.05,6.88,3.61,2.69,1.24,25.82,93.71
31/05/2019,26.80,7.68,15.11,7.16,3.64,2.90,1.27,25.67,93.97
01/06/2019,25.82,7.50,13.22,6.15,3.65,2.47,1.15,23.88,87.66
