Date,China,India,US,EU,Russia,Japan,Brazil,ROW,Domestic Aviation,International Aviation,All Aviation
01/01/2019,0.15,0.03,0.36,0.02,0.01,0.02,0.02,0.13,0.75,1.46,2.21
02/01/2019,0.15,0.03,0.44,0.03,0.02,0.02,0.03,0.14,0.87,1.61,2.47
03/01/2019,0.15,0.03,0.46,0.03,0.03,0.02,0.03,0.15,0.89,1.64,2.53
04/01/2019,0.15,0.03,0.44,0.03,0.03,0.02,0.03,0.14,0.87,1.66,2.54
05/01/2019,0.15,0.03,0.41,0.03,0.03,0.02,0.02,0.13,0.81,1.72,2.53
06/01/2019,0.15,0.03,0.40,0.03,0.03,0.02,0.02,0.14,0.81,1.74,2.56
07/01/2019,0.15,0.03,0.42,0.03,0.03,0.02,0.03,0.14,0.85,1.62,2.47
08/01/2019,0.15,0.03,0.42,0.02,0.03,0.02,0.03,0.14,0.85,1.54,2.38
09/01/2019,0.15,0.03,0.41,0.03,0.03,0.02,0.03,0.14,0.83,1.53,2.37
10/01/2019,0.16,0.03,0.47,0.03,0.03,0.02,0.03,0.15,0.91,1.66,2.57
11/01/2019,0.13,0.03,0.35,0.02,0.02,0.01,0.02,0.12,0.71,1.49,2.20
12/01/2019,0.15,0.03,0.37,0.03,0.02,0.02,0.03,0.12,0.77,1.65,2.41
13/01/2019,0.15,0.03,0.33,0.03,0.03,0.02,0.02,0.13,0.74,1.65,2.39
14/01/2019,0.16,0.03,0.40,0.03,0.03,0.02,0.03,0.14,0.83,1.57,2.40
15/01/2019,0.16,0.03,0.41,0.03,0.02,0.02,0.03,0.14,0.83,1.48,2.32
16/01/2019,0.13,0.03,0.37,0.03,0.02,0.01,0.02,0.12,0.73,1.30,2.03
17/01/2019,0.16,0.03,0.43,0.03,0.02,0.02,0.03,0.14,0.86,1.54,2.40
18/01/2019,0.16,0.03,0.45,0.02,0.03,0.02,0.03,0.14,0.88,1.61,2.49
19/01/2019,0.16,0.03,0.36,0.03,0.02,0.02,0.02,0.12,0.77,1.63,2.40
20/01/2019,0.16,0.03,0.30,0.03,0.02,0.02,0.02,0.13,0.71,1.63,2.33
21/01/2019,0.16,0.03,0.38,0.03,0.02,0.02,0.03,0.14,0.82,1.57,2.39
22/01/2019,0.16,0.03,0.42,0.03,0.02,0.02,0.03,0.14,0.85,1.49,2.34
23/01/2019,0.16,0.03,0.40,0.03,0.02,0.02,0.03,0.14,0.83,1.51,2.34
24/01/2019,0.16,0.03,0.43,0.03,0.02,0.02,0.03,0.14,0.86,1.55,2.41
25/01/2019,0.16,0.03,0.44,0.02,0.03,0.02,0.03,0.14,0.88,1.61,2.49
26/01/2019,0.17,0.03,0.38,0.03,0.02,0.02,0.02,0.12,0.79,1.63,2.41
27/01/2019,0.17,0.03,0.35,0.03,0.02,0.02,0.02,0.13,0.77,1.68,2.45
28/01/2019,0.13,0.03,0.38,0.03,0.02,0.01,0.02,0.12,0.73,1.41,2.14
29/01/2019,0.17,0.03,0.40,0.03,0.02,0.02,0.03,0.14,0.83,1.48,2.31
30/01/2019,0.17,0.03,0.38,0.03,0.02,0.02,0.03,0.14,0.82,1.49,2.32
31/01/2019,0.17,0.03,0.41,0.03,0.02,0.02,0.03,0.14,0.85,1.55,2.40
01/02/2019,0.17,0.03,0.43,0.02,0.03,0.02,0.03,0.14,0.88,1.62,2.50
02/02/2019,0.17,0.03,0.38,0.03,0.02,0.02,0.02,0.13,0.79,1.64,2.44
03/02/2019,0.17,0.03,0.33,0.03,0.02,0.02,0.02,0.13,0.75,1.63,2.38
04/02/2019,0.14,0.03,0.40,0.03,0.03,0.02,0.02,0.14,0.80,1.56,2.36
05/02/2019,0.15,0.03,0.42,0.03,0.02,0.02,0.02,0.14,0.84,1.48,2.31
06/02/2019,0.16,0.03,0.40,0.03,0.02,0.02,0.02,0.14,0.83,1.48,2.31
07/02/2019,0.16,0.03,0.42,0.03,0.02,0.02,0.02,0.14,0.86,1.51,2.37
08/02/2019,0.16,0.03,0.44,0.02,0.03,0.02,0.02,0.14,0.88,1.58,2.46
09/02/2019,0.17,0.03,0.38,0.02,0.02,0.02,0.02,0.12,0.79,1.62,2.40
10/02/2019,0.17,0.03,0.35,0.03,0.02,0.02,0.02,0.13,0.77,1.62,2.39
11/02/2019,0.17,0.03,0.41,0.03,0.03,0.02,0.02,0.14,0.85,1.54,2.40
12/02/2019,0.17,0.03,0.39,0.03,0.02,0.02,0.02,0.14,0.82,1.47,2.29
13/02/2019,0.17,0.03,0.41,0.03,0.02,0.02,0.02,0.13,0.84,1.46,2.30
14/02/2019,0.16,0.03,0.45,0.03,0.03,0.02,0.02,0.14,0.88,1.56,2.44
15/02/2019,0.17,0.03,0.47,0.02,0.03,0.02,0.02,0.14,0.91,1.63,2.54
16/02/2019,0.17,0.03,0.40,0.03,0.02,0.02,0.02,0.12,0.81,1.67,2.48
17/02/2019,0.17,0.03,0.34,0.03,0.02,0.02,0.02,0.13,0.76,1.66,2.42
18/02/2019,0.17,0.03,0.42,0.03,0.03,0.02,0.02,0.14,0.86,1.58,2.44
19/02/2019,0.16,0.03,0.45,0.03,0.02,0.02,0.02,0.14,0.87,1.51,2.38
20/02/2019,0.17,0.03,0.41,0.03,0.02,0.02,0.02,0.14,0.84,1.51,2.35
21/02/2019,0.17,0.03,0.44,0.03,0.02,0.02,0.02,0.14,0.88,1.56,2.43
22/02/2019,0.17,0.03,0.45,0.02,0.03,0.02,0.02,0.14,0.89,1.63,2.52
23/02/2019,0.17,0.03,0.40,0.03,0.02,0.02,0.02,0.12,0.80,1.67,2.47
24/02/2019,0.17,0.03,0.37,0.03,0.02,0.02,0.02,0.13,0.79,1.68,2.47
25/02/2019,0.17,0.03,0.42,0.03,0.03,0.02,0.02,0.14,0.85,1.59,2.44
26/02/2019,0.17,0.03,0.43,0.03,0.02,0.02,0.02,0.14,0.86,1.52,2.38
27/02/2019,0.17,0.03,0.44,0.03,0.02,0.02,0.02,0.14,0.87,1.52,2.39
28/02/2019,0.16,0.03,0.46,0.03,0.02,0.02,0.02,0.14,0.89,1.57,2.46
01/03/2019,0.16,0.03,0.46,0.03,0.03,0.02,0.03,0.14,0.90,1.62,2.52
02/03/2019,0.16,0.03,0.40,0.02,0.02,0.02,0.02,0.13,0.80,1.67,2.47
03/03/2019,0.16,0.03,0.38,0.03,0.02,0.02,0.01,0.13,0.79,1.67,2.46
04/03/2019,0.16,0.03,0.42,0.03,0.03,0.02,0.01,0.14,0.84,1.58,2.42
05/03/2019,0.16,0.03,0.44,0.03,0.02,0.02,0.02,0.14,0.86,1.53,2.39
06/03/2019,0.16,0.03,0.45,0.03,0.02,0.02,0.02,0.14,0.88,1.54,2.42
07/03/2019,0.16,0.03,0.46,0.03,0.02,0.02,0.02,0.14,0.89,1.57,2.46
08/03/2019,0.16,0.03,0.47,0.04,0.03,0.02,0.02,0.14,0.90,1.64,2.54
09/03/2019,0.15,0.03,0.42,0.02,0.02,0.02,0.02,0.12,0.81,1.68,2.49
10/03/2019,0.16,0.03,0.43,0.03,0.02,0.02,0.02,0.13,0.84,1.70,2.53
11/03/2019,0.15,0.03,0.46,0.03,0.03,0.02,0.02,0.14,0.89,1.61,2.49
12/03/2019,0.15,0.03,0.46,0.03,0.02,0.02,0.02,0.14,0.88,1.53,2.41
13/03/2019,0.15,0.03,0.44,0.03,0.02,0.02,0.02,0.14,0.87,1.53,2.40
14/03/2019,0.15,0.03,0.45,0.03,0.03,0.02,0.02,0.14,0.87,1.58,2.45
15/03/2019,0.16,0.03,0.49,0.04,0.03,0.02,0.02,0.14,0.92,1.64,2.56
16/03/2019,0.15,0.03,0.44,0.02,0.02,0.02,0.02,0.12,0.83,1.69,2.52
17/03/2019,0.15,0.03,0.43,0.03,0.03,0.02,0.02,0.13,0.83,1.68,2.51
18/03/2019,0.15,0.03,0.45,0.03,0.03,0.02,0.02,0.14,0.88,1.60,2.48
19/03/2019,0.15,0.03,0.46,0.03,0.02,0.02,0.02,0.14,0.87,1.53,2.40
20/03/2019,0.15,0.03,0.46,0.03,0.03,0.02,0.02,0.14,0.89,1.55,2.43
21/03/2019,0.15,0.03,0.47,0.03,0.03,0.02,0.02,0.14,0.90,1.59,2.49
22/03/2019,0.15,0.03,0.48,0.04,0.03,0.02,0.02,0.14,0.91,1.64,2.55
23/03/2019,0.15,0.03,0.44,0.02,0.02,0.02,0.02,0.12,0.83,1.68,2.50
24/03/2019,0.15,0.03,0.42,0.03,0.02,0.02,0.02,0.13,0.83,1.69,2.52
25/03/2019,0.15,0.03,0.45,0.03,0.03,0.02,0.02,0.14,0.87,1.64,2.51
26/03/2019,0.10,0.03,0.45,0.03,0.02,0.02,0.02,0.13,0.79,1.47,2.26
27/03/2019,0.15,0.03,0.46,0.03,0.02,0.02,0.02,0.14,0.89,1.55,2.44
28/03/2019,0.15,0.03,0.48,0.03,0.02,0.02,0.02,0.15,0.91,1.61,2.52
29/03/2019,0.15,0.03,0.48,0.04,0.03,0.02,0.02,0.15,0.91,1.65,2.56
30/03/2019,0.15,0.03,0.43,0.02,0.02,0.02,0.02,0.12,0.82,1.68,2.50
31/03/2019,0.16,0.03,0.43,0.03,0.02,0.02,0.02,0.13,0.83,1.72,2.55
01/04/2019,0.16,0.03,0.45,0.03,0.03,0.02,0.02,0.14,0.89,1.65,2.54
02/04/2019,0.16,0.03,0.46,0.03,0.03,0.02,0.02,0.14,0.89,1.61,2.50
03/04/2019,0.16,0.03,0.46,0.03,0.03,0.02,0.02,0.15,0.89,1.63,2.52
04/04/2019,0.16,0.03,0.47,0.04,0.03,0.02,0.02,0.15,0.91,1.66,2.57
05/04/2019,0.15,0.03,0.48,0.04,0.03,0.02,0.02,0.15,0.91,1.69,2.60
06/04/2019,0.15,0.03,0.41,0.03,0.03,0.02,0.02,0.12,0.80,1.71,2.51
07/04/2019,0.16,0.03,0.41,0.03,0.03,0.02,0.02,0.13,0.82,1.73,2.55
08/04/2019,0.16,0.03,0.45,0.04,0.03,0.02,0.02,0.14,0.89,1.65,2.53
09/04/2019,0.15,0.03,0.46,0.04,0.03,0.02,0.02,0.15,0.89,1.62,2.51
10/04/2019,0.16,0.03,0.49,0.04,0.03,0.02,0.02,0.15,0.93,1.88,2.81
11/04/2019,0.09,0.02,0.33,0.03,0.02,0.01,0.02,0.09,0.60,1.20,1.79
12/04/2019,0.16,0.03,0.48,0.04,0.03,0.02,0.02,0.15,0.92,1.71,2.64
13/04/2019,0.16,0.03,0.41,0.03,0.03,0.02,0.02,0.13,0.81,1.78,2.59
14/04/2019,0.16,0.03,0.38,0.03,0.03,0.02,0.02,0.13,0.79,1.75,2.55
15/04/2019,0.16,0.03,0.45,0.03,0.03,0.02,0.02,0.14,0.88,1.67,2.55
16/04/2019,0.16,0.03,0.47,0.03,0.03,0.02,0.02,0.15,0.90,1.63,2.53
17/04/2019,0.16,0.03,0.47,0.04,0.03,0.02,0.02,0.15,0.90,1.66,2.56
18/04/2019,0.16,0.03,0.47,0.04,0.03,0.02,0.02,0.15,0.91,1.70,2.61
19/04/2019,0.15,0.03,0.45,0.03,0.03,0.02,0.02,0.14,0.87,1.70,2.57
20/04/2019,0.15,0.03,0.40,0.03,0.03,0.02,0.01,0.12,0.79,1.74,2.53
21/04/2019,0.16,0.03,0.38,0.03,0.03,0.02,0.02,0.13,0.78,1.76,2.54
22/04/2019,0.16,0.03,0.46,0.03,0.03,0.02,0.02,0.15,0.90,1.68,2.58
23/04/2019,0.15,0.03,0.47,0.04,0.03,0.02,0.02,0.15,0.90,1.65,2.55
24/04/2019,0.16,0.03,0.46,0.04,0.03,0.02,0.02,0.14,0.89,1.65,2.54
25/04/2019,0.15,0.03,0.48,0.04,0.03,0.02,0.02,0.15,0.91,1.69,2.61
26/04/2019,0.15,0.03,0.47,0.04,0.03,0.02,0.02,0.15,0.90,1.70,2.61
27/04/2019,0.15,0.03,0.41,0.03,0.03,0.02,0.02,0.13,0.81,1.77,2.58
28/04/2019,0.16,0.03,0.42,0.03,0.03,0.02,0.02,0.14,0.83,1.79,2.61
29/04/2019,0.16,0.03,0.46,0.04,0.03,0.02,0.02,0.15,0.89,1.68,2.57
30/04/2019,0.16,0.03,0.46,0.03,0.03,0.02,0.02,0.14,0.88,1.65,2.53
01/05/2019,0.16,0.03,0.47,0.03,0.03,0.02,0.02,0.14,0.90,1.66,2.56
02/05/2019,0.15,0.03,0.47,0.03,0.03,0.02,0.02,0.15,0.90,1.67,2.56
03/05/2019,0.16,0.03,0.48,0.04,0.03,0.02,0.02,0.15,0.92,1.72,2.63
04/05/2019,0.16,0.03,0.41,0.03,0.03,0.02,0.02,0.13,0.82,1.75,2.57
