Date,China,India,US,EU,Russia,Japan,Brazil,ROW,World
01/01/2019,2.50,0.78,3.90,1.66,0.58,0.53,0.23,4.56,14.74
02/01/2019,2.52,0.80,3.21,1.87,0.50,0.51,0.40,4.78,14.58
03/01/2019,2.51,0.80,4.60,2.39,0.53,0.53,0.49,5.75,17.59
04/01/2019,2.55,0.81,4.84,2.44,0.53,0.54,0.51,5.54,17.76
05/01/2019,2.49,0.80,4.02,1.95,0.59,0.52,0.43,5.07,15.87
06/01/2019,2.43,0.75,2.68,1.38,0.49,0.49,0.30,4.19,12.73
07/01/2019,2.51,0.81,4.17,2.31,0.50,0.53,0.53,5.71,17.07
08/01/2019,2.51,0.81,4.91,2.60,0.52,0.53,0.55,6.11,18.55
09/01/2019,2.51,0.82,5.02,2.61,0.55,0.53,0.55,6.19,18.77
10/01/2019,2.51,0.81,5.06,2.62,0.55,0.53,0.55,6.32,18.96
11/01/2019,2.54,0.79,5.28,2.62,0.50,0.54,0.57,5.93,18.78
12/01/2019,2.47,0.77,4.46,2.06,0.61,0.52,0.50,5.41,16.78
13/01/2019,2.41,0.79,2.39,1.68,0.52,0.49,0.35,4.59,13.21
14/01/2019,2.50,0.81,4.17,2.60,0.68,0.51,0.54,6.11,17.93
15/01/2019,2.50,0.81,5.05,2.64,0.69,0.53,0.56,6.49,19.29
16/01/2019,2.49,0.82,5.21,2.65,0.69,0.53,0.57,6.62,19.59
17/01/2019,2.50,0.82,5.08,2.64,0.70,0.53,0.56,6.47,19.30
18/01/2019,2.56,0.82,5.19,2.66,0.70,0.54,0.57,6.10,19.14
19/01/2019,2.50,0.82,4.56,2.22,0.63,0.52,0.53,5.65,17.43
20/01/2019,2.24,0.78,3.40,1.71,0.54,0.49,0.45,5.24,14.85
21/01/2019,2.50,0.82,3.17,2.63,0.69,0.53,0.57,6.03,16.95
22/01/2019,2.52,0.83,4.99,2.66,0.70,0.53,0.58,6.62,19.42
23/01/2019,2.51,0.83,5.32,2.66,0.69,0.53,0.58,6.72,19.83
24/01/2019,2.51,0.82,5.29,2.67,0.70,0.53,0.58,6.75,19.85
25/01/2019,2.56,0.83,5.31,2.66,0.70,0.54,0.57,6.17,19.34
26/01/2019,2.48,0.73,4.52,2.25,0.63,0.52,0.52,5.73,17.39
27/01/2019,2.41,0.78,3.35,1.75,0.57,0.49,0.43,5.35,15.12
28/01/2019,2.48,0.82,4.58,2.64,0.69,0.53,0.57,6.43,18.74
29/01/2019,2.50,0.82,5.18,2.66,0.70,0.53,0.58,6.72,19.69
30/01/2019,2.50,0.82,5.20,2.64,0.69,0.53,0.58,6.74,19.69
31/01/2019,2.50,0.82,5.14,2.66,0.69,0.53,0.58,6.74,19.67
01/02/2019,2.57,0.82,5.38,2.65,0.70,0.54,0.58,6.30,19.53
02/02/2019,2.49,0.82,4.61,2.19,0.62,0.52,0.53,5.79,17.58
03/02/2019,2.44,0.77,3.36,1.73,0.55,0.49,0.44,5.38,15.16
04/02/2019,2.54,0.82,4.63,2.62,0.69,0.53,0.57,6.45,18.85
05/02/2019,2.54,0.82,5.22,2.65,0.70,0.53,0.58,6.61,19.65
06/02/2019,2.54,0.83,5.30,2.65,0.69,0.53,0.58,6.66,19.77
07/02/2019,2.54,0.83,5.34,2.66,0.69,0.53,0.58,6.72,19.90
08/02/2019,2.57,0.83,5.35,2.64,0.70,0.54,0.58,6.21,19.41
09/02/2019,2.50,0.82,4.56,2.18,0.62,0.52,0.54,5.70,17.44
10/02/2019,2.46,0.78,3.42,1.71,0.52,0.49,0.44,5.36,15.18
11/02/2019,2.55,0.82,4.70,2.61,0.69,0.53,0.57,6.55,19.02
12/02/2019,2.56,0.82,5.27,2.64,0.69,0.51,0.58,6.74,19.80
13/02/2019,2.55,0.82,5.07,2.62,0.69,0.53,0.57,6.69,19.55
14/02/2019,2.55,0.83,5.30,2.66,0.69,0.53,0.58,6.80,19.95
15/02/2019,2.58,0.83,5.23,2.67,0.70,0.54,0.58,6.33,19.47
16/02/2019,2.51,0.81,4.55,2.17,0.62,0.52,0.54,5.69,17.41
17/02/2019,2.47,0.77,3.41,1.68,0.52,0.49,0.44,5.24,15.02
18/02/2019,2.54,0.82,3.43,2.58,0.68,0.53,0.57,6.04,17.20
19/02/2019,2.54,0.82,4.99,2.61,0.69,0.53,0.58,6.51,19.27
20/02/2019,2.53,0.81,5.29,2.68,0.69,0.53,0.59,6.67,19.80
21/02/2019,2.54,0.82,5.27,2.63,0.70,0.53,0.58,6.70,19.77
22/02/2019,2.57,0.82,5.28,2.63,0.70,0.54,0.58,6.19,19.31
23/02/2019,2.49,0.81,4.58,2.13,0.61,0.52,0.55,5.62,17.31
24/02/2019,2.44,0.76,3.42,1.64,0.51,0.49,0.47,5.12,14.85
25/02/2019,2.53,0.82,4.57,2.59,0.56,0.53,0.57,6.38,18.55
26/02/2019,2.53,0.82,5.16,2.61,0.69,0.53,0.55,6.63,19.52
27/02/2019,2.53,0.82,5.26,2.64,0.69,0.53,0.55,6.71,19.72
28/02/2019,2.53,0.78,5.23,2.64,0.69,0.53,0.56,6.49,19.45
01/03/2019,2.56,0.82,5.33,2.65,0.70,0.54,0.58,6.22,19.39
02/03/2019,2.49,0.82,4.57,2.14,0.62,0.52,0.54,5.75,17.43
