Date,China,India,US,EU,Russia,Japan,Brazil,ROW,World
01/01/2019,9.64,2.28,1.72,0.90,0.63,0.51,0.28,6.48,22.44
02/01/2019,10.47,2.27,2.10,1.37,0.64,0.50,0.31,7.18,24.86
03/01/2019,10.40,2.30,2.07,1.71,0.66,0.53,0.31,7.29,25.27
04/01/2019,10.21,2.33,2.03,1.72,0.66,0.58,0.28,7.23,25.06
05/01/2019,10.30,2.35,1.84,1.48,0.67,0.59,0.30,7.11,24.63
06/01/2019,9.95,2.33,1.55,1.48,0.66,0.61,0.30,6.85,23.75
07/01/2019,10.24,2.22,1.77,1.65,0.66,0.70,0.29,7.11,24.64
08/01/2019,10.02,2.28,1.73,1.53,0.67,0.73,0.30,7.00,24.26
09/01/2019,10.26,2.36,1.98,1.68,0.70,0.75,0.30,7.32,25.34
10/01/2019,10.24,2.36,2.18,1.93,0.70,0.78,0.30,7.51,26.01
11/01/2019,10.30,2.37,2.20,1.85,0.70,0.75,0.30,7.50,25.98
12/01/2019,10.03,2.40,1.99,1.33,0.69,0.71,0.32,7.09,24.54
13/01/2019,9.71,2.38,2.13,1.04,0.68,0.62,0.27,6.83,23.67
14/01/2019,9.71,2.26,2.42,1.53,0.69,0.65,0.37,7.15,24.78
15/01/2019,9.61,2.20,2.37,1.63,0.69,0.76,0.36,7.15,24.78
16/01/2019,9.80,2.26,2.30,1.70,0.69,0.74,0.41,7.27,25.17
17/01/2019,9.74,2.31,2.26,1.73,0.70,0.73,0.42,7.26,25.16
18/01/2019,9.73,2.32,1.93,1.94,0.69,0.73,0.42,7.21,24.97
19/01/2019,9.38,2.36,1.86,1.77,0.68,0.66,0.24,6.88,23.83
20/01/2019,8.95,2.36,2.15,1.68,0.67,0.62,0.23,6.76,23.42
21/01/2019,8.92,2.27,2.39,2.02,0.69,0.71,0.33,7.03,24.36
22/01/2019,8.96,2.24,2.29,2.01,0.70,0.73,0.36,7.02,24.32
23/01/2019,8.88,2.23,2.22,1.99,0.71,0.73,0.43,6.98,24.17
24/01/2019,8.72,2.33,2.14,2.07,0.71,0.74,0.42,6.96,24.09
25/01/2019,8.55,2.29,2.35,1.89,0.71,0.75,0.37,6.86,23.77
26/01/2019,8.41,2.25,2.21,1.44,0.70,0.71,0.40,6.54,22.65
27/01/2019,7.87,2.10,2.03,1.15,0.69,0.66,0.38,6.03,20.90
28/01/2019,8.04,2.09,2.06,1.63,0.71,0.76,0.40,6.37,22.07
29/01/2019,7.57,2.21,2.43,1.85,0.71,0.75,0.46,6.48,22.44
30/01/2019,7.51,2.26,2.69,1.87,0.70,0.74,0.47,6.59,22.83
31/01/2019,7.35,2.31,2.67,1.84,0.70,0.78,0.50,6.55,22.70
01/02/2019,6.84,2.43,2.74,2.20,0.80,0.89,0.36,6.59,22.84
02/02/2019,6.71,2.38,2.13,1.87,0.79,0.78,0.35,6.09,21.09
03/02/2019,6.49,2.37,1.85,1.70,0.81,0.72,0.36,5.80,20.09
04/02/2019,6.25,2.30,2.09,2.13,0.82,0.75,0.38,5.97,20.69
05/02/2019,6.01,2.35,2.31,2.26,0.82,0.81,0.40,6.08,21.04
06/02/2019,6.01,2.47,2.33,2.19,0.82,0.88,0.39,6.13,21.23
07/02/2019,6.20,2.46,2.31,1.96,0.82,0.82,0.37,6.06,20.99
08/02/2019,6.57,2.36,2.56,1.73,0.80,0.86,0.34,6.18,21.41
09/02/2019,7.10,2.40,2.54,1.26,0.78,0.88,0.33,6.20,21.49
10/02/2019,7.47,2.40,2.52,1.21,0.81,0.76,0.33,6.29,21.79
11/02/2019,7.66,2.35,2.50,1.80,0.80,0.86,0.36,6.63,22.96
12/02/2019,8.03,2.37,2.43,2.04,0.80,0.86,0.36,6.86,23.75
13/02/2019,8.06,2.40,2.34,1.98,0.80,0.87,0.42,6.84,23.71
14/02/2019,8.18,2.45,2.25,2.06,0.79,0.90,0.45,6.93,24.01
15/02/2019,8.30,2.45,2.22,1.99,0.77,0.93,0.47,6.95,24.09
16/02/2019,8.17,2.42,2.28,1.50,0.76,0.79,0.46,6.64,23.01
17/02/2019,8.35,2.39,2.25,1.34,0.78,0.71,0.45,6.61,22.90
18/02/2019,8.99,2.36,2.59,1.88,0.78,0.79,0.44,7.23,25.05
19/02/2019,8.87,2.39,2.87,1.94,0.78,0.86,0.45,7.37,25.55
20/02/2019,8.91,2.50,2.67,1.97,0.78,0.75,0.45,7.31,25.34
21/02/2019,9.19,2.48,2.46,1.98,0.78,0.76,0.42,7.33,25.40
22/02/2019,9.09,2.47,2.49,1.96,0.77,0.76,0.41,7.29,25.24
23/02/2019,8.72,2.47,2.13,1.52,0.76,0.67,0.32,6.73,23.33
24/02/2019,8.43,2.46,2.10,1.54,0.78,0.63,0.34,6.61,22.89
25/02/2019,8.77,2.40,2.41,1.97,0.78,0.72,0.40,7.08,24.53
26/02/2019,9.07,2.46,2.53,1.98,0.78,0.72,0.42,7.29,25.25
27/02/2019,9.00,2.46,2.50,1.90,0.77,0.79,0.39,7.23,25.05
28/02/2019,8.76,2.44,2.39,1.80,0.77,0.82,0.36,7.04,24.38
01/03/2019,11.96,2.32,2.56,2.20,0.81,0.87,0.43,8.58,29.73
02/03/2019,11.81,2.39,2.33,1.65,0.83,0.77,0.40,8.19,28.38
03/03/2019,11.53,2.33,2.29,1.26,0.82,0.81,0.38,7.88,27.31
04/03/2019,11.21,2.26,2.84,1.49,0.82,0.93,0.38,8.09,28.03
05/03/2019,11.32,2.34,2.92,1.74,0.82,0.84,0.38,8.26,28.62
06/03/2019,11.04,2.40,2.80,1.71,0.79,0.90,0.38,8.13,28.16
07/03/2019,11.05,2.41,2.58,1.60,0.79,0.91,0.35,7.99,27.67
08/03/2019,11.37,2.47,2.42,1.71,0.79,0.86,0.32,8.09,28.03
09/03/2019,11.41,2.45,2.00,1.25,0.81,0.75,0.33,7.71,26.71
10/03/2019,10.80,2.43,1.94,1.23,0.81,0.72,0.33,7.41,25.67
11/03/2019,10.62,2.40,2.29,1.59,0.81,0.80,0.34,7.65,26.50
12/03/2019,10.53,2.47,2.15,1.67,0.81,0.80,0.36,7.62,26.40
13/03/2019,10.99,2.50,2.03,1.55,0.81,0.81,0.35,7.72,26.75
14/03/2019,11.00,2.50,1.95,1.63,0.80,0.86,0.36,7.75,26.86
15/03/2019,10.88,2.47,1.99,1.59,0.79,0.85,0.35,7.67,26.58
16/03/2019,10.65,2.43,2.05,1.27,0.80,0.78,0.31,7.42,25.70
17/03/2019,10.34,2.42,2.07,1.13,0.80,0.75,0.32,7.24,25.09
18/03/2019,10.71,2.37,2.31,1.79,0.79,0.82,0.37,7.78,26.94
19/03/2019,10.38,2.47,2.21,2.18,0.80,0.84,0.36,7.81,27.04
20/03/2019,10.50,2.52,2.21,2.07,0.79,0.76,0.37,7.80,27.03
21/03/2019,10.49,2.51,2.22,2.04,0.78,0.75,0.37,7.78,26.94
22/03/2019,10.95,2.22,2.01,2.00,0.77,0.74,0.38,7.74,26.81
23/03/2019,10.62,2.33,1.86,1.60,0.79,0.77,0.39,7.45,25.81
24/03/2019,10.24,2.43,1.87,1.36,0.79,0.71,0.38,7.21,24.99
