Date,China,India,US,EU,Russia,Japan,Brazil,ROW,World
01/01/2019,17.14,3.47,4.20,2.03,2.32,1.38,0.09,11.03,41.66
02/01/2019,17.05,3.45,5.11,3.10,2.38,1.35,0.11,11.73,44.29
03/01/2019,16.07,3.50,5.03,3.88,2.41,1.41,0.11,11.68,44.09
04/01/2019,17.15,3.53,4.95,3.90,2.44,1.56,0.10,12.12,45.75
05/01/2019,17.04,3.57,4.47,3.34,2.46,1.58,0.10,11.73,44.29
06/01/2019,16.88,3.54,3.76,3.35,2.45,1.64,0.10,11.43,43.16
07/01/2019,16.75,3.37,4.30,3.74,2.44,1.88,0.10,11.74,44.31
08/01/2019,16.70,3.46,4.22,3.45,2.48,1.96,0.10,11.67,44.05
09/01/2019,16.71,3.59,4.81,3.81,2.56,2.01,0.10,12.11,45.70
10/01/2019,16.62,3.58,5.31,4.37,2.58,2.10,0.10,12.49,47.15
11/01/2019,16.83,3.59,5.37,4.20,2.59,2.02,0.10,12.50,47.20
12/01/2019,16.87,3.64,4.85,3.01,2.54,1.90,0.11,11.86,44.77
13/01/2019,16.85,3.62,5.20,2.36,2.49,1.66,0.09,11.62,43.89
14/01/2019,16.50,3.44,5.88,3.45,2.55,1.75,0.13,12.14,45.85
15/01/2019,16.32,3.34,5.77,3.69,2.55,2.04,0.12,12.19,46.01
16/01/2019,16.29,3.42,5.60,3.85,2.56,1.98,0.14,12.20,46.04
17/01/2019,16.05,3.51,5.50,3.92,2.57,1.97,0.14,12.13,45.80
18/01/2019,16.34,3.53,4.70,4.39,2.55,1.96,0.14,12.11,45.74
19/01/2019,16.08,3.59,4.52,4.01,2.49,1.77,0.08,11.72,44.26
20/01/2019,15.88,3.58,5.22,3.79,2.48,1.68,0.08,11.78,44.49
21/01/2019,15.05,3.45,5.81,4.56,2.56,1.90,0.11,12.05,45.49
22/01/2019,14.40,3.40,5.58,4.56,2.59,1.97,0.12,11.75,44.36
23/01/2019,14.42,3.39,5.40,4.52,2.63,1.95,0.15,11.70,44.16
24/01/2019,14.10,3.54,5.22,4.70,2.63,1.98,0.14,11.64,43.94
25/01/2019,13.60,3.47,5.71,4.28,2.63,2.01,0.13,11.47,43.31
26/01/2019,12.58,3.42,5.37,3.25,2.58,1.91,0.14,10.54,39.80
27/01/2019,12.17,3.18,4.94,2.59,2.55,1.77,0.13,9.85,37.18
28/01/2019,11.50,3.18,5.01,3.70,2.62,2.05,0.14,10.15,38.34
29/01/2019,10.59,3.35,5.92,4.18,2.60,2.00,0.16,10.37,39.16
30/01/2019,10.34,3.43,6.55,4.24,2.58,1.99,0.16,10.55,39.84
31/01/2019,10.03,3.51,6.51,4.17,2.58,2.09,0.17,10.47,39.52
01/02/2019,9.57,3.48,5.77,3.89,2.54,2.00,0.17,9.88,37.32
02/02/2019,8.89,3.41,4.50,3.31,2.51,1.75,0.17,8.84,33.37
03/02/2019,8.39,3.40,3.89,3.01,2.59,1.62,0.17,8.31,31.38
04/02/2019,8.02,3.30,4.41,3.77,2.60,1.68,0.18,8.63,32.59
05/02/2019,7.90,3.38,4.88,4.00,2.62,1.83,0.19,8.93,33.73
06/02/2019,8.03,3.54,4.92,3.88,2.62,1.98,0.19,9.06,34.22
07/02/2019,8.00,3.53,4.87,3.47,2.60,1.84,0.17,8.82,33.32
08/02/2019,7.92,3.39,5.41,3.06,2.54,1.95,0.16,8.80,33.24
09/02/2019,8.31,3.45,5.36,2.23,2.50,1.97,0.16,8.64,32.61
10/02/2019,8.41,3.45,5.31,2.14,2.56,1.70,0.16,8.55,32.29
11/02/2019,9.45,3.37,5.27,3.19,2.55,1.93,0.17,9.35,35.29
12/02/2019,9.61,3.40,5.13,3.60,2.55,1.95,0.17,9.52,35.93
13/02/2019,9.62,3.45,4.93,3.50,2.53,1.96,0.20,9.44,35.64
14/02/2019,9.97,3.52,4.74,3.64,2.52,2.03,0.22,9.60,36.24
15/02/2019,9.85,3.52,4.67,3.52,2.46,2.09,0.22,9.49,35.84
16/02/2019,10.21,3.47,4.80,2.65,2.42,1.77,0.22,9.20,34.74
17/02/2019,10.48,3.44,4.75,2.38,2.48,1.59,0.22,9.13,34.47
18/02/2019,10.66,3.39,5.46,3.32,2.48,1.78,0.21,9.83,37.13
19/02/2019,11.18,3.44,6.06,3.43,2.49,1.94,0.22,10.36,39.11
20/02/2019,12.40,3.58,5.63,3.48,2.49,1.69,0.21,10.62,40.11
21/02/2019,12.69,3.56,5.18,3.51,2.50,1.70,0.20,10.57,39.91
22/02/2019,13.31,3.55,5.26,3.47,2.44,1.72,0.20,10.78,40.72
23/02/2019,14.33,3.54,4.50,2.70,2.42,1.50,0.15,10.50,39.65
24/02/2019,14.40,3.54,4.42,2.72,2.49,1.43,0.16,10.50,39.66
25/02/2019,14.17,3.45,5.09,3.48,2.48,1.61,0.19,10.98,41.45
26/02/2019,13.09,3.53,5.33,3.51,2.47,1.63,0.20,10.72,40.48
27/02/2019,14.45,3.53,5.28,3.36,2.46,1.78,0.19,11.18,42.22
28/02/2019,14.62,3.50,5.03,3.19,2.45,1.86,0.17,11.11,41.93
01/03/2019,13.16,3.49,5.47,3.42,2.40,1.65,0.19,10.72,40.49
02/03/2019,13.47,3.59,4.98,2.57,2.45,1.47,0.17,10.34,39.05
03/03/2019,13.15,3.50,4.90,1.96,2.43,1.54,0.17,9.96,37.60
04/03/2019,12.78,3.40,6.08,2.32,2.43,1.77,0.17,10.43,39.37
05/03/2019,12.70,3.51,6.24,2.71,2.42,1.59,0.16,10.57,39.90
06/03/2019,12.90,3.61,5.98,2.66,2.34,1.72,0.17,10.58,39.94
07/03/2019,12.59,3.62,5.51,2.49,2.33,1.72,0.15,10.24,38.66
08/03/2019,12.18,3.71,5.18,2.66,2.33,1.63,0.14,10.02,37.84
09/03/2019,11.94,3.68,4.27,1.95,2.39,1.42,0.14,9.29,35.09
10/03/2019,11.97,3.66,4.15,1.91,2.38,1.37,0.14,9.22,34.81
11/03/2019,12.16,3.60,4.90,2.47,2.39,1.53,0.15,9.80,36.99
12/03/2019,11.64,3.71,4.58,2.59,2.39,1.51,0.16,9.58,36.17
13/03/2019,11.41,3.75,4.33,2.41,2.38,1.53,0.15,9.36,35.33
14/03/2019,11.34,3.75,4.17,2.53,2.35,1.64,0.16,9.35,35.29
15/03/2019,11.74,3.71,4.26,2.46,2.32,1.61,0.15,9.46,35.71
16/03/2019,12.40,3.65,4.37,1.98,2.37,1.48,0.13,9.50,35.88
17/03/2019,12.28,3.64,4.43,1.76,2.36,1.42,0.14,9.38,35.42
18/03/2019,12.27,3.57,4.93,2.78,2.35,1.55,0.16,9.95,37.55
19/03/2019,11.85,3.72,4.72,3.38,2.35,1.60,0.16,10.01,37.79
20/03/2019,12.53,3.78,4.73,3.21,2.35,1.45,0.16,10.17,38.39
21/03/2019,12.26,3.78,4.74,3.17,2.31,1.42,0.16,10.03,37.87
22/03/2019,12.52,3.33,4.30,3.11,2.28,1.40,0.17,9.77,36.88
23/03/2019,12.55,3.50,3.98,2.48,2.33,1.47,0.17,9.54,36.03
24/03/2019,12.79,3.66,3.99,2.11,2.33,1.35,0.16,9.51,35.91
25/03/2019,12.45,3.65,4.59,2.46,2.33,1.55,0.17,9.80,37.01
26/03/2019,12.20,3.77,4.63,2.84,2.33,1.50,0.17,9.88,37.32
27/03/2019,12.74,3.77,4.21,3.14,2.32,1.42,0.15,10.00,37.77
28/03/2019,12.84,3.84,4.12,3.19,2.27,1.47,0.15,10.04,37.92
29/03/2019,12.60,3.87,4.17,2.93,2.22,1.50,0.15,9.89,37.33
30/03/2019,13.42,3.92,3.62,2.33,2.27,1.47,0.16,9.79,36.98
31/03/2019,13.23,3.96,4.06,2.07,2.28,1.27,0.15,9.74,36.77
01/04/2019,12.71,3.60,4.79,2.80,2.27,1.52,0.14,10.03,37.85
02/04/2019,12.40,3.68,4.64,2.92,2.27,1.65,0.16,9.99,37.71
03/04/2019,11.92,3.84,4.28,3.08,2.23,1.64,0.15,9.78,36.93
04/04/2019,12.34,3.90,4.48,3.16,2.19,1.52,0.16,10.00,37.75
05/04/2019,12.59,3.96,4.46,3.04,2.25,1.43,0.17,10.05,37.96
06/04/2019,12.26,3.87,3.96,2.45,2.22,1.20,0.15,9.40,35.50
07/04/2019,11.47,3.78,3.77,2.22,2.21,1.14,0.14,8.91,33.65
08/04/2019,11.43,3.49,4.53,3.00,2.20,1.38,0.13,9.43,35.60
09/04/2019,12.28,3.81,4.29,2.94,2.20,1.46,0.14,9.77,36.90
